log_name,drift_or_noise_id,drift_attribute,drift_sub_attribute,value
log_1_1687181916.xes,drift_1,log_id,1,log_1_1687181916.xes
log_1_1687181916.xes,drift_1,drift_id,1,1
log_1_1687181916.xes,drift_1,process_perspective,1,control-flow
log_1_1687181916.xes,drift_1,drift_type,1,incremental
log_1_1687181916.xes,drift_1,process_trees_1,0,"->( ->( +( 'a', 'm' ), ->( *( 'c', 'h' ), 'i' ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,process_trees_2,1,"->( ->( +( 'a', 'm' ), ->( *( 'c', 'h' ), 'i' ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o', 'Random activity 1' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,process_trees_3,2,"->( ->( +( 'a', 'm' ), ->( *( 'c', 'h' ), *tau* ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o', 'Random activity 1' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,process_trees_4,3,"->( ->( +( *tau*, 'm' ), ->( *( 'c', 'h' ), *tau* ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o', 'Random activity 1' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,change_info_1,change_type,sudden
log_1_1687181916.xes,drift_1,change_info_1,change_trace_index,[1292]
log_1_1687181916.xes,drift_1,change_info_1,process_tree_before,"->( ->( +( 'a', 'm' ), ->( *( 'c', 'h' ), 'i' ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,change_info_1,process_tree_after,"->( ->( +( 'a', 'm' ), ->( *( 'c', 'h' ), 'i' ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o', 'Random activity 1' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,change_info_1,activities_deleted,[]
log_1_1687181916.xes,drift_1,change_info_1,activities_added,[Random activity 1]
log_1_1687181916.xes,drift_1,change_info_1,activities_moved,[]
log_1_1687181916.xes,drift_1,change_info_1,change_start,53:02.3
log_1_1687181916.xes,drift_1,change_info_1,change_end,53:02.3
log_1_1687181916.xes,drift_1,change_info_2,change_type,sudden
log_1_1687181916.xes,drift_1,change_info_2,change_trace_index,[2437]
