Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance,without_noise,log_100_1687182078,300,2,[1134],[1133],1.0,1.0,00:00:00,0.2954060798510909,0.0001245388194987
Earth Mover's Distance,without_noise,log_100_1687182078,400,2,[1126],[1133],1.0,7.0,00:00:00,0.3197004375979304,0.0001347809602014
Earth Mover's Distance,without_noise,log_100_1687182078,600,2,[1132],[1133],1.0,1.0,00:00:00,0.317980095744133,0.0001340556896054
Earth Mover's Distance,without_noise,log_10_1687181929,100,2,[1534],"[1446, 1821]",0.6666666666666666,88.0,00:03:27,207.5784099651501,0.0805504113174815
Earth Mover's Distance,with_noise_20,log_10_1687181929,200,2,[1714],"[1446, 1821]",0.6666666666666666,107.0,00:08:01,481.4825895363465,0.1868384127032776
Earth Mover's Distance,with_noise_10,log_10_1687181929,300,2,[1762],"[1446, 1821]",0.6666666666666666,59.0,00:11:07,667.8446886399761,0.2591558745207513
Earth Mover's Distance,with_noise_10,log_10_1687181929,500,2,[1588],"[1446, 1821]",0.6666666666666666,142.0,00:18:55,1135.380535115488,0.4405822798275079
Earth Mover's Distance,without_noise,log_10_1687181929,600,2,[1678],"[1446, 1821]",0.6666666666666666,143.0,00:19:44,1184.4514529434964,0.4596241571375616
Earth Mover's Distance,with_noise_10,log_11_1687181931,100,2,[1010],[1012],1.0,2.0,00:00:03,3.1722768656909466,0.0018715497732689
Earth Mover's Distance,without_noise,log_11_1687181931,200,2,[1010],[1012],1.0,2.0,00:00:00,0.172441529110074,0.0001017354154041
Earth Mover's Distance,with_noise_10,log_11_1687181931,300,2,[1010],[1012],1.0,2.0,00:00:10,10.282319767400622,0.0060662653494988
Earth Mover's Distance,with_noise_10,log_11_1687181931,400,2,[1010],[1012],1.0,2.0,00:00:13,13.007994295097888,0.0076743329174618
Earth Mover's Distance,with_noise_20,log_11_1687181931,600,2,[],[1012],,,00:00:43,43.93781962804496,0.0259220174796725
Earth Mover's Distance,without_noise,log_12_1687181931,100,2,[],"[969, 1263]",,,00:00:00,0.149901301600039,8.445143752114874e-05
Earth Mover's Distance,with_noise_20,log_12_1687181931,200,2,[1182],"[969, 1263]",0.6666666666666666,81.0,00:00:14,14.17811401002109,0.0079876698648006
Earth Mover's Distance,with_noise_10,log_12_1687181931,300,2,[1192],"[969, 1263]",0.6666666666666666,71.0,00:00:07,7.17598585318774,0.0040428089313733
Earth Mover's Distance,without_noise,log_12_1687181931,400,2,[1044],"[969, 1263]",0.6666666666666666,75.0,00:00:00,0.1815078482031822,0.0001022579426496
Earth Mover's Distance,without_noise,log_12_1687181931,600,2,[],"[969, 1263]",,,00:00:00,0.0896229734644293,5.049181603629824e-05
Earth Mover's Distance,without_noise,log_13_1687181932,100,2,"[720, 740, 1406, 2976, 3118]","[627, 835, 1407, 2856, 3239]",1.0,86.0,00:00:00,0.584484938532114,0.0001316407519216
Earth Mover's Distance,with_noise_20,log_13_1687181932,300,2,"[718, 1406, 3088]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,81.0,00:01:34,94.5428930670023,0.0212934443844599
