Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Maaradji Runs,with_noise_20,log_100_1687182078,100,2,[],[1133],,,00:00:01,1.2939353873953223,0.0005455039575865
Maaradji Runs,with_noise_10,log_100_1687182078,200,2,[],[1133],,,00:00:00,0.8653776030987501,0.0003648303554379
Maaradji Runs,with_noise_10,log_100_1687182078,300,2,[],[1133],,,00:00:01,1.016587463207543,0.000428578188536
Maaradji Runs,with_noise_10,log_100_1687182078,50,2,[],[1133],,,00:00:00,0.8388837575912476,0.0003536609433352
Maaradji Runs,with_noise_20,log_10_1687181929,100,2,[],"[1446, 1821]",,,00:00:31,31.668682113289837,0.0122889724925455
Maaradji Runs,with_noise_20,log_10_1687181929,150,2,[],"[1446, 1821]",,,00:00:31,31.89220395311713,0.0123757097218149
Maaradji Runs,without_noise,log_10_1687181929,200,2,[],"[1446, 1821]",,,00:05:51,351.690118056722,0.1364726884193721
Maaradji Runs,with_noise_20,log_10_1687181929,250,2,[],"[1446, 1821]",,,00:00:31,31.00844882801175,0.0120327702087744
Maaradji Runs,with_noise_20,log_10_1687181929,300,2,[],"[1446, 1821]",,,00:00:29,29.872927649877965,0.0115921333526883
Maaradji Runs,without_noise,log_11_1687181931,100,2,[982],[1012],1.0,30.0,00:00:00,0.197501603513956,0.0001165201200672
Maaradji Runs,without_noise,log_11_1687181931,150,2,[966],[1012],1.0,46.0,00:00:00,0.3395175747573375,0.0002003053538391
Maaradji Runs,without_noise,log_11_1687181931,200,2,[948],[1012],1.0,64.0,00:00:00,0.3627117602154612,0.0002139892390651
Maaradji Runs,with_noise_20,log_11_1687181931,250,2,[],[1012],,,00:00:01,1.0798281449824572,0.000637066752202
Maaradji Runs,without_noise,log_11_1687181931,50,2,[998],[1012],1.0,14.0,00:00:00,0.1863614488393068,0.0001099477574273
Maaradji Runs,with_noise_10,log_12_1687181931,100,2,[],"[969, 1263]",,,00:00:00,0.4325260883197188,0.0002436766694758
Maaradji Runs,with_noise_10,log_12_1687181931,150,2,[],"[969, 1263]",,,00:00:00,0.28111139126122,0.000158372614795
Maaradji Runs,with_noise_10,log_12_1687181931,250,2,[],"[969, 1263]",,,00:00:00,0.4611523440107703,0.0002598041374708
Maaradji Runs,with_noise_10,log_13_1687181932,100,2,[],"[627, 835, 1407, 2856, 3239]",,,00:00:01,1.70624606218189,0.0003842896536445
Maaradji Runs,without_noise,log_13_1687181932,150,2,"[612, 1360, 2846]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,24.0,00:00:01,1.1088096303865314,0.0002497318987357
Maaradji Runs,with_noise_10,log_13_1687181932,200,2,[],"[627, 835, 1407, 2856, 3239]",,,00:00:02,2.010304776020348,0.0004527713459505
Maaradji Runs,with_noise_20,log_13_1687181932,250,2,[],"[627, 835, 1407, 2856, 3239]",,,00:00:01,1.506028718315065,0.0003391956572781
Maaradji Runs,without_noise,log_13_1687181932,300,2,"[562, 1314, 2796]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,72.66666666666667,00:00:01,1.5003157015889883,0.0003379089417993
Maaradji Runs,with_noise_10,log_14_1687181933,150,2,[],[1179],,,00:00:00,0.6891087247058749,0.0003685073394149
Maaradji Runs,with_noise_20,log_14_1687181933,200,2,[],[1179],,,00:00:00,0.8958118921145797,0.0004790437925746
Maaradji Runs,with_noise_10,log_14_1687181933,250,2,[],[1179],,,00:00:00,0.6700596325099468,0.0003583206590962
Maaradji Runs,without_noise,log_15_1687181933,100,2,"[964, 1276]","[957, 1345]",1.0,38.0,00:00:00,0.6145161017775536,0.0002337451889606
Maaradji Runs,without_noise,log_15_1687181933,200,2,[930],"[957, 1345]",0.6666666666666666,27.0,00:00:00,0.6703429687768221,0.0002549802087397
Maaradji Runs,with_noise_10,log_15_1687181933,250,2,[],"[957, 1345]",,,00:00:01,1.002066245302558,0.0003811587087495
Maaradji Runs,with_noise_10,log_15_1687181933,300,2,[],"[957, 1345]",,,00:00:00,0.5841816663742065,0.0002222067958821
Maaradji Runs,with_noise_10,log_16_1687181934,100,2,[],"[1218, 1793, 2771]",,,00:00:01,1.7031105337664485,0.0004219798151056
Maaradji Runs,with_noise_10,log_16_1687181934,200,2,[],"[1218, 1793, 2771]",,,00:00:01,1.6584682054817677,0.0004109187823294
Maaradji Runs,with_noise_20,log_16_1687181934,250,2,[],"[1218, 1793, 2771]",,,00:00:02,2.228784080594778,0.0005522259862722
Maaradji Runs,with_noise_10,log_16_1687181934,300,2,[],"[1218, 1793, 2771]",,,00:00:01,1.8279541144147515,0.0004529123177439
Maaradji Runs,with_noise_20,log_17_1687181934,150,2,[],"[975, 1309, 2437, 2652, 3899]",,,00:00:16,16.065342664718628,0.0033001936451763
Maaradji Runs,with_noise_10,log_17_1687181934,250,2,[],"[975, 1309, 2437, 2652, 3899]",,,00:00:13,13.145951042883098,0.0027004829586859
Maaradji Runs,with_noise_20,log_18_1687181937,100,2,[],"[1013, 1325]",,,00:00:09,9.1869978280738,0.00435402740667
Maaradji Runs,with_noise_20,log_18_1687181937,150,2,[],"[1013, 1325]",,,00:00:09,9.90800502616912,0.004695736979227
Maaradji Runs,with_noise_20,log_18_1687181937,200,2,[],"[1013, 1325]",,,00:00:09,9.484565913677216,0.004495054935392
Maaradji Runs,with_noise_20,log_18_1687181937,300,2,[],"[1013, 1325]",,,00:00:09,9.27574154175818,0.0043960860387479
Maaradji Runs,with_noise_10,log_18_1687181937,50,2,[],"[1013, 1325]",,,00:00:10,10.83042183984071,0.005132901345896
Maaradji Runs,without_noise,log_19_1687181938,250,2,[],[771],,,00:00:43,43.68218722753227,0.0293169041795518
