Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Martjushev ADWIN J,with_noise_20,log_100_1687182078,0.4,100,400,50,[1049],[1133],1.0,84.0,00:00:02,2.2143522053956985,0.0009335380292561
Martjushev ADWIN J,with_noise_20,log_100_1687182078,0.4,100,500,10,[879],[1133],,,00:00:06,6.71062973421067,0.0028291019115559
Martjushev ADWIN J,with_noise_20,log_100_1687182078,0.4,100,600,20,[919],[1133],,,00:00:05,5.174788219854236,0.0021816139206805
Martjushev ADWIN J,with_noise_10,log_100_1687182078,0.4,100,700,10,[1119],[1133],1.0,14.0,00:00:03,3.816627299413085,0.0016090334314557
Martjushev ADWIN J,with_noise_10,log_100_1687182078,0.4,200,400,20,[1129],[1133],1.0,4.0,00:00:03,3.338047740980983,0.0014072713916445
Martjushev ADWIN J,with_noise_20,log_100_1687182078,0.4,200,500,10,[879],[1133],,,00:00:06,6.132030337117612,0.0025851729920394
Martjushev ADWIN J,without_noise,log_100_1687182078,0.4,200,600,10,[1094],[1133],1.0,39.0,00:00:06,6.067305847071111,0.0025578861075341
Martjushev ADWIN J,with_noise_10,log_100_1687182078,0.4,200,700,50,[1136],[1133],1.0,3.0,00:00:04,4.49112109746784,0.0018933900073641
Martjushev ADWIN J,without_noise,log_100_1687182078,0.4,300,400,10,[1129],[1133],1.0,4.0,00:00:05,5.079642881639302,0.0021415020580266
Martjushev ADWIN J,with_noise_20,log_100_1687182078,0.4,300,500,50,[1099],[1133],1.0,34.0,00:00:03,3.9401276791468254,0.0016610993588308
Martjushev ADWIN J,with_noise_10,log_100_1687182078,0.4,300,600,10,[909],[1133],,,00:00:05,5.961172400042415,0.0025131418212657
Martjushev ADWIN J,with_noise_20,log_100_1687182078,0.4,300,700,10,[1004],[1133],1.0,129.0,00:00:03,3.308308837004006,0.0013947339110472
Martjushev ADWIN J,with_noise_10,log_100_1687182078,0.4,400,400,20,[1129],[1133],1.0,4.0,00:00:04,4.249431000091136,0.0017914970489423
Martjushev ADWIN J,without_noise,log_100_1687182078,0.4,400,500,20,[1146],[1133],1.0,13.0,00:00:04,4.006868035532534,0.0016892361026697
Martjushev ADWIN J,without_noise,log_100_1687182078,0.4,400,600,20,[1109],[1133],1.0,24.0,00:00:04,4.317679408937693,0.0018202695653194
Martjushev ADWIN J,without_noise,log_100_1687182078,0.4,400,700,50,[1136],[1133],1.0,3.0,00:00:03,3.776281177997589,0.0015920241053952
Martjushev ADWIN J,with_noise_20,log_10_1687181929,0.4,100,400,20,"[1479, 2140]","[1446, 1821]",0.5,33.0,00:00:44,44.56760448310524,0.01729437504195
Martjushev ADWIN J,without_noise,log_10_1687181929,0.4,100,500,20,[1781],"[1446, 1821]",0.6666666666666666,40.0,00:00:47,47.032433012500405,0.0182508471138922
Martjushev ADWIN J,with_noise_20,log_10_1687181929,0.4,100,600,10,[1499],"[1446, 1821]",0.6666666666666666,53.0,00:00:57,57.57531333807856,0.0223419919821802
Martjushev ADWIN J,with_noise_20,log_10_1687181929,0.4,100,700,10,[1689],"[1446, 1821]",0.6666666666666666,132.0,00:00:58,58.38099733926356,0.0226546361425159
Martjushev ADWIN J,with_noise_10,log_10_1687181929,0.4,200,400,50,[1499],"[1446, 1821]",0.6666666666666666,53.0,00:00:31,31.2173940166831,0.0121138509959965
Martjushev ADWIN J,without_noise,log_10_1687181929,0.4,200,500,50,[1749],"[1446, 1821]",0.6666666666666666,72.0,00:00:41,41.67755952384323,0.0161728985346694
Martjushev ADWIN J,with_noise_10,log_10_1687181929,0.4,200,600,10,[1499],"[1446, 1821]",0.6666666666666666,53.0,00:00:55,55.81740225758404,0.0216598378958416
Martjushev ADWIN J,with_noise_20,log_10_1687181929,0.4,200,700,50,[1749],"[1446, 1821]",0.6666666666666666,72.0,00:00:36,36.3297509290278,0.0140976914742055
Martjushev ADWIN J,with_noise_20,log_10_1687181929,0.4,300,400,10,"[1479, 2140]","[1446, 1821]",0.5,33.0,00:00:47,47.14151556696743,0.0182931763938562
Martjushev ADWIN J,with_noise_20,log_10_1687181929,0.4,300,500,50,[],"[1446, 1821]",,,00:00:40,40.22540359292179,0.0156093921586813
Martjushev ADWIN J,with_noise_20,log_10_1687181929,0.4,300,600,20,[1499],"[1446, 1821]",0.6666666666666666,53.0,00:00:44,44.215169647708535,0.0171576133673684
Martjushev ADWIN J,with_noise_10,log_10_1687181929,0.4,300,700,50,[1349],"[1446, 1821]",0.6666666666666666,97.0,00:00:39,39.4029670022428,0.0152902471875214
Martjushev ADWIN J,without_noise,log_10_1687181929,0.4,400,400,10,[1529],"[1446, 1821]",0.6666666666666666,83.0,00:00:41,41.80940593779087,0.0162240612874625
Martjushev ADWIN J,with_noise_10,log_10_1687181929,0.4,400,500,50,[1799],"[1446, 1821]",0.6666666666666666,22.0,00:00:39,39.65395185351372,0.0153876413866952
Martjushev ADWIN J,with_noise_10,log_10_1687181929,0.4,400,600,20,[1499],"[1446, 1821]",0.6666666666666666,53.0,00:00:41,41.4558985857293,0.0160868834248076
Martjushev ADWIN J,with_noise_10,log_10_1687181929,0.4,400,700,50,[1349],"[1446, 1821]",0.6666666666666666,97.0,00:00:39,39.58270970452577,0.0153599960048606
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,100,400,50,[],[1012],,,00:00:02,2.7019145665690303,0.0015940498917811
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,100,500,10,[],[1012],,,00:00:03,3.756876964122057,0.0022164465865026
Martjushev ADWIN J,with_noise_20,log_11_1687181931,0.4,100,600,50,[549],[1012],,,00:00:03,3.1439179936423898,0.0018548188753052
Martjushev ADWIN J,with_noise_10,log_11_1687181931,0.4,100,700,20,"[139, 700]",[1012],,,00:00:01,1.8280626153573396,0.0010785030179099
Martjushev ADWIN J,with_noise_20,log_11_1687181931,0.4,200,400,50,[1049],[1012],1.0,37.0,00:00:03,3.3926823968067765,0.0020015825349892
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,200,500,50,[],[1012],,,00:00:02,2.7034968016669154,0.0015949833638152
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,200,600,10,[],[1012],,,00:00:02,2.1255899015814066,0.001254035340166
Martjushev ADWIN J,with_noise_20,log_11_1687181931,0.4,200,700,20,[539],[1012],,,00:00:03,3.693450776860118,0.0021790270069971
Martjushev ADWIN J,with_noise_20,log_11_1687181931,0.4,300,400,20,[949],[1012],1.0,63.0,00:00:03,3.406156301498413,0.0020095317412969
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,300,500,20,[],[1012],,,00:00:03,3.1386752715334296,0.0018517258239135
Martjushev ADWIN J,with_noise_10,log_11_1687181931,0.4,300,600,10,[539],[1012],,,00:00:02,2.4683708483353257,0.0014562659872184
Martjushev ADWIN J,with_noise_20,log_11_1687181931,0.4,300,700,10,[529],[1012],,,00:00:03,3.9200916392728686,0.0023127384302494
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,400,400,20,[],[1012],,,00:00:03,3.0700580403208733,0.0018112436816052
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,400,500,10,[],[1012],,,00:00:03,3.3634675620123744,0.001984346644255
Martjushev ADWIN J,with_noise_10,log_11_1687181931,0.4,400,600,50,[549],[1012],,,00:00:01,1.4663023129105568,0.0008650751108616
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,400,700,10,[],[1012],,,00:00:04,4.156463418155909,0.0024521908071716
Martjushev ADWIN J,without_noise,log_12_1687181931,0.4,100,400,10,[],"[969, 1263]",,,00:00:02,2.048971801996231,0.0011543503109837
Martjushev ADWIN J,with_noise_10,log_12_1687181931,0.4,100,500,20,[],"[969, 1263]",,,00:00:01,1.606043666601181,0.0009048133332964
Martjushev ADWIN J,without_noise,log_12_1687181931,0.4,100,600,20,[],"[969, 1263]",,,00:00:01,1.653400931507349,0.0009314934825393
