Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Process Graph Metrics,with_noise_20,log_100_1687182078,0.0001,100,400,[1253],[1133],1.0,120.0,00:00:02,2.4679036447778344,0.0010404315534476
Process Graph Metrics,with_noise_10,log_100_1687182078,0.0001,100,500,[1281],[1133],1.0,148.0,00:00:08,8.036748141981661,0.0033881737529433
Process Graph Metrics,with_noise_10,log_100_1687182078,0.0001,100,600,[1265],[1133],1.0,132.0,00:00:06,6.871700407937169,0.0028970069173428
Process Graph Metrics,with_noise_20,log_100_1687182078,0.0001,100,700,[1274],[1133],1.0,141.0,00:00:04,4.836574971675873,0.0020390282342647
Process Graph Metrics,with_noise_10,log_100_1687182078,0.0001,200,500,[1281],[1133],1.0,148.0,00:00:07,7.9229550482705235,0.0033402002733012
Process Graph Metrics,with_noise_10,log_100_1687182078,0.0001,200,600,[1265],[1133],1.0,132.0,00:00:04,4.136805362999439,0.0017440157516861
Process Graph Metrics,with_noise_20,log_100_1687182078,0.0001,200,700,[1274],[1133],1.0,141.0,00:00:03,3.619616888463497,0.001525976765794
Process Graph Metrics,with_noise_20,log_100_1687182078,0.0001,300,400,[1253],[1133],1.0,120.0,00:00:04,4.3912167847156525,0.0018512718316676
Process Graph Metrics,with_noise_20,log_100_1687182078,0.0001,300,700,[1274],[1133],1.0,141.0,00:00:05,5.128062562085688,0.0021619150767646
Process Graph Metrics,without_noise,log_100_1687182078,0.0001,400,400,[1230],[1133],1.0,97.0,00:00:02,2.5274030212312937,0.0010655156076017
Process Graph Metrics,with_noise_10,log_100_1687182078,0.005,100,400,[1236],[1133],1.0,103.0,00:00:03,3.877348996698856,0.0016346327979337
Process Graph Metrics,with_noise_20,log_100_1687182078,0.005,100,500,[1258],[1133],1.0,125.0,00:00:07,7.521602099761367,0.0031709958262063
Process Graph Metrics,with_noise_10,log_100_1687182078,0.005,100,600,[1227],[1133],1.0,94.0,00:00:05,5.6024249363690615,0.0023618992143208
Process Graph Metrics,without_noise,log_100_1687182078,0.005,100,700,[1218],[1133],1.0,85.0,00:00:03,3.5798611529171467,0.0015092163376547
Process Graph Metrics,with_noise_20,log_100_1687182078,0.005,200,500,[1258],[1133],1.0,125.0,00:00:07,7.901458001695573,0.003331137437477
Process Graph Metrics,with_noise_10,log_100_1687182078,0.005,200,600,[1227],[1133],1.0,94.0,00:00:04,4.44523327704519,0.0018740443832399
Process Graph Metrics,with_noise_10,log_100_1687182078,0.005,200,700,[1232],[1133],1.0,99.0,00:00:04,4.776062477380037,0.0020135170646627
Process Graph Metrics,without_noise,log_100_1687182078,0.005,300,400,[1215],[1133],1.0,82.0,00:00:02,2.3280580416321754,0.0009814747224418
Process Graph Metrics,with_noise_10,log_100_1687182078,0.005,300,500,[1239],[1133],1.0,106.0,00:00:05,5.900499987415969,0.0024875632324687
Process Graph Metrics,with_noise_10,log_100_1687182078,0.005,300,600,[1227],[1133],1.0,94.0,00:00:05,5.659293574281037,0.0023858741881454
