Category,Parameter,F1,Precision,Recall
Bose J,"(100.0, 2.0)",0.4939890710382513,0.8560606060606061,0.34715821812596004
Bose J,"(150.0, 2.0)",0.5589958158995816,0.6139705882352942,0.5130568356374808
Bose J,"(200.0, 2.0)",0.5465742879137798,0.5478395061728395,0.5453149001536098
Bose J,"(250.0, 2.0)",0.5289747399702823,0.5122302158273381,0.5468509984639017
Bose J,"(300.0, 2.0)",0.5130890052356021,0.5,0.5268817204301075
Bose J,"(350.0, 2.0)",0.49419054996127026,0.4984375,0.49001536098310294
Bose J,"(400.0, 2.0)",0.5080645161290324,0.534804753820034,0.4838709677419355
Bose J,"(450.0, 2.0)",0.4975767366720517,0.524701873935264,0.4731182795698925
Bose J,"(500.0, 2.0)",0.5086136177194421,0.545774647887324,0.47619047619047616
Bose J,"(550.0, 2.0)",0.4911986588432523,0.540590405904059,0.4500768049155146
Bose J,"(600.0, 2.0)",0.502106149957877,0.5559701492537313,0.4577572964669739
Bose WC,"(100.0, 2.0)",0.369727047146402,0.9612903225806452,0.22887864823348694
Bose WC,"(150.0, 2.0)",0.48434237995824636,0.755700325732899,0.3563748079877112
Bose WC,"(200.0, 2.0)",0.49416342412451364,0.6737400530503979,0.3901689708141321
Bose WC,"(250.0, 2.0)",0.5183098591549296,0.6666666666666666,0.423963133640553
Bose WC,"(300.0, 2.0)",0.484903934126258,0.5995475113122172,0.40706605222734255
Bose WC,"(350.0, 2.0)",0.5013876040703052,0.6302325581395349,0.4162826420890937
Bose WC,"(400.0, 2.0)",0.4829493087557604,0.6036866359447005,0.402457757296467
Bose WC,"(450.0, 2.0)",0.4787430683918669,0.6009280742459396,0.3978494623655914
Bose WC,"(500.0, 2.0)",0.47432306255835666,0.6047619047619047,0.3901689708141321
Bose WC,"(550.0, 2.0)",0.45149253731343286,0.5748218527315915,0.3717357910906298
Bose WC,"(600.0, 2.0)",0.4519774011299435,0.583941605839416,0.3686635944700461
Earth Mover's Distance,"(100.0, 2.0)",0.47846012832263973,0.5931818181818181,0.4009216589861751
Earth Mover's Distance,"(150.0, 2.0)",0.5148809523809523,0.49927849927849927,0.5314900153609831
Earth Mover's Distance,"(200.0, 2.0)",0.5007012622720898,0.46064516129032257,0.5483870967741935
Earth Mover's Distance,"(250.0, 2.0)",0.4858681022880215,0.43233532934131735,0.554531490015361
Earth Mover's Distance,"(300.0, 2.0)",0.46111493461803166,0.4177057356608479,0.5145929339477726
Earth Mover's Distance,"(350.0, 2.0)",0.4723618090452261,0.44339622641509435,0.5053763440860215
Earth Mover's Distance,"(400.0, 2.0)",0.45170876671619614,0.437410071942446,0.46697388632872505
Earth Mover's Distance,"(450.0, 2.0)",0.46058732612055636,0.463452566096423,0.4577572964669739
Earth Mover's Distance,"(500.0, 2.0)",0.46459824980111375,0.48184818481848185,0.4485407066052227
Earth Mover's Distance,"(550.0, 2.0)",0.47029288702928873,0.5165441176470589,0.43164362519201227
Earth Mover's Distance,"(600.0, 2.0)",0.4839549002601908,0.5557768924302788,0.42857142857142855
LCDD,"(100.0, 100.0, 5.0)",0.17903997530483098,0.09951956074124914,0.890937019969278
LCDD,"(100.0, 100.0, 10.0)",0.17258737235725585,0.0952078705172961,0.9216589861751152
LCDD,"(100.0, 100.0, 20.0)",0.17925574030087094,0.09992937853107345,0.869431643625192
LCDD,"(100.0, 100.0, 50.0)",0.17445298639858073,0.09651562244397187,0.9062980030721967
LCDD,"(100.0, 100.0, 100.0)",0.17573730617208877,0.0975198245318036,0.8878648233486943
LCDD,"(100.0, 100.0, 150.0)",0.1808295789964269,0.1005876253024542,0.8940092165898618
LCDD,"(100.0, 100.0, 200.0)",0.17494158878504673,0.09665967403582379,0.9201228878648233
LCDD,"(200.0, 200.0, 5.0)",0.3314984709480122,0.2069492172584956,0.8325652841781874
LCDD,"(200.0, 200.0, 10.0)",0.31659142212189617,0.19391634980988592,0.8617511520737328
LCDD,"(200.0, 200.0, 20.0)",0.3240159726183685,0.1989492119089317,0.8725038402457758
LCDD,"(200.0, 200.0, 50.0)",0.31333333333333335,0.19125127161749747,0.8663594470046083
LCDD,"(200.0, 200.0, 100.0)",0.3241220495106505,0.19943322706340771,0.8648233486943164
LCDD,"(200.0, 200.0, 150.0)",0.3133187772925764,0.19050779953534683,0.8817204301075269
LCDD,"(200.0, 200.0, 200.0)",0.3139569194452641,0.19430241051862673,0.8172043010752689
LCDD,"(300.0, 300.0, 5.0)",0.4296654574768239,0.2912568306010929,0.8187403993855606
LCDD,"(300.0, 300.0, 10.0)",0.41853281853281854,0.27952552862300156,0.8325652841781874
LCDD,"(300.0, 300.0, 20.0)",0.42703150912106136,0.2924474730266894,0.7910906298003072
LCDD,"(300.0, 300.0, 50.0)",0.4225242718446602,0.28274428274428276,0.8356374807987711
LCDD,"(300.0, 300.0, 100.0)",0.4289671547289276,0.2889125799573561,0.8325652841781874
LCDD,"(300.0, 300.0, 150.0)",0.42933224088488325,0.2927374301675978,0.804915514592934
LCDD,"(300.0, 300.0, 200.0)",0.41918429003021146,0.27791687531296944,0.8525345622119815
LCDD,"(400.0, 400.0, 5.0)",0.5002409638554217,0.36446629213483145,0.7972350230414746
LCDD,"(400.0, 400.0, 10.0)",0.4895886236668359,0.36570561456752654,0.7403993855606759
LCDD,"(400.0, 400.0, 20.0)",0.4846153846153846,0.35269419174247724,0.7741935483870968
LCDD,"(400.0, 400.0, 50.0)",0.4950592885375494,0.36489439184268024,0.7695852534562212
LCDD,"(400.0, 400.0, 100.0)",0.47735021919142717,0.34950071326676174,0.7526881720430108
LCDD,"(400.0, 400.0, 150.0)",0.4982060481804203,0.37384615384615383,0.7465437788018433
LCDD,"(400.0, 400.0, 200.0)",0.500996015936255,0.37067059690493737,0.7726574500768049
LCDD,"(600.0, 600.0, 5.0)",0.4802507836990595,0.4057203389830508,0.5883256528417818
LCDD,"(600.0, 600.0, 10.0)",0.47916666666666663,0.415819209039548,0.565284178187404
LCDD,"(600.0, 600.0, 20.0)",0.4803982576228998,0.40376569037656906,0.5929339477726574
LCDD,"(600.0, 600.0, 50.0)",0.5032341526520051,0.4346368715083799,0.5975422427035331
