Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
Martjushev ADWIN J,without_noise,log_69_1687182027,0.4,300.0,500.0,20.0,[1464],"[1354, 1741, 2389, 2676, 3199]",0.33333333333333337,110.0,00:00:35,35.825725296512246,0.008481469056939452,,,,,,,
Process Graph Metrics,without_noise,log_96_1687182073,0.1,100.0,400.0,,[1817],"[805, 1076, 1645, 1910, 2579, 2949]",0.2857142857142857,93.0,00:00:14,14.566973831504583,0.0035331006139957756,,,,,,,
Earth Mover's Distance,without_noise,log_62_1687182017,,,,,[538],[540],1.0,2.0,00:00:22,22.461998076178133,0.014003739448988861,200.0,2.0,,,,,
Process Graph Metrics,without_noise,log_27_1687181952,0.05,300.0,500.0,,"[732, 1969, 3171]","[605, 944, 1861, 2203, 3080, 3444]",0.6666666666666666,108.66666666666667,00:00:20,20.2707397993654,0.004856430234634739,,,,,,,
LCDD,without_noise,log_47_1687181994,,,,,"[251, 549, 836, 1075, 1443, 1717, 2016, 2230]","[1076, 1388]",0.4,28.0,00:00:00,0.18942553736269474,7.555865072305335e-05,,,200.0,200.0,5.0,,
Process Graph Metrics,without_noise,log_28_1687181955,0.005,400.0,500.0,,[1052],[983],1.0,69.0,00:00:06,6.2410721546038985,0.002734913301754557,,,,,,,
Maaradji Runs,without_noise,log_1_1687181916,,,,,"[1296, 2414, 3580]","[1292, 2437, 3613]",1.0,20.0,00:03:56,236.5787604600191,0.049890080231973666,150.0,2.0,,,,,
Process Graph Metrics,without_noise,log_96_1687182073,0.0001,400.0,400.0,,"[1891, 2741]","[805, 1076, 1645, 1910, 2579, 2949]",0.5,90.5,00:00:12,12.207224110141397,0.0029607625782540376,,,,,,,
Martjushev ADWIN J,without_noise,log_89_1687182057,0.4,300.0,500.0,50.0,"[1155, 1918, 2488, 2902]","[1144, 1943, 2486]",0.8571428571428571,12.666666666666666,00:00:05,5.5538231655955315,0.0017215818864214296,,,,,,,
Martjushev ADWIN J,without_noise,log_64_1687182018,0.4,300.0,500.0,20.0,[299],[1359],,,00:00:36,36.35758436843753,0.018418229163342213,,,,,,,
Martjushev ADWIN J,without_noise,log_29_1687181956,0.4,200.0,500.0,10.0,[],"[516, 766]",,,00:00:15,15.649286057800055,0.010350056916534428,,,,,,,
Process Graph Metrics,without_noise,log_64_1687182018,0.0001,200.0,400.0,,[1380],[1359],1.0,21.0,00:00:24,24.39898162148893,0.012360173060531372,,,,,,,
Process Graph Metrics,without_noise,log_9_1687181928,0.005,200.0,400.0,,"[1197, 2137, 2982]","[1135, 1916, 2696, 2989]",0.5714285714285715,34.5,00:00:08,8.403387974947691,0.0018732474308844607,,,,,,,
LCDD,without_noise,log_38_1687181974,,,,,"[233, 444, 648, 914, 1117, 1318, 1557, 1782, 1998, 2200]","[1060, 1266]",0.33333333333333337,54.5,00:00:00,0.14701410476118326,6.247943253768944e-05,,,200.0,200.0,150.0,,
Process Graph Metrics,without_noise,log_100_1687182078,0.0001,400.0,500.0,,[1256],[1133],1.0,123.0,00:00:06,6.105582634918392,0.0025740230332708227,,,,,,,
Martjushev J,without_noise,log_55_1687182006,0.55,,,,"[292, 1269, 1532, 2133]","[1185, 1392]",0.6666666666666666,112.0,00:00:22,22.157238855026662,0.008051322258367246,100.0,,,,,,
Process Graph Metrics,without_noise,log_78_1687182040,0.0001,400.0,500.0,,[848],[743],1.0,105.0,00:00:06,6.6996769439429045,0.00299627770301561,,,,,,,
Martjushev ADWIN J,without_noise,log_36_1687181970,0.4,100.0,500.0,50.0,"[749, 1450, 2301, 3002]","[754, 1601, 2593]",0.5714285714285715,78.0,00:00:54,54.69046273548156,0.014849433270562465,,,,,,,
Martjushev ADWIN J,without_noise,log_70_1687182031,0.4,200.0,400.0,50.0,[],[608],,,00:00:08,8.537358667701483,0.0058037788359629385,,,,,,,
Martjushev ADWIN J,without_noise,log_96_1687182073,0.4,100.0,400.0,10.0,"[836, 937, 1678, 1812, 2656, 2804]","[805, 1076, 1645, 1910, 2579, 2949]",1.0,87.16666666666667,00:00:11,11.406388763338327,0.002766526500930955,,,,,,,
Process Graph Metrics,without_noise,log_84_1687182047,0.05,100.0,500.0,,"[312, 1502]",[1338],0.6666666666666666,164.0,00:00:01,1.6721882997080684,0.0006560173792499287,,,,,,,
LCDD,without_noise,log_100_1687182078,,,,,[1133],[1133],1.0,0.0,00:00:00,0.029809555038809776,1.2567266036597713e-05,,,200.0,200.0,150.0,,
Maaradji Runs,without_noise,log_52_1687182004,,,,,[1404],"[1221, 1560]",0.6666666666666666,156.0,00:00:01,1.4440189972519875,0.0004906622484716234,300.0,2.0,,,,,
LCDD,without_noise,log_84_1687182047,,,,,"[206, 413, 654, 856, 1071, 1295, 1507, 1763, 2006, 2309, 2523]",[1338],0.16666666666666669,43.0,00:00:00,0.04390777833759785,1.7225491697762986e-05,,,200.0,200.0,200.0,,
Process Graph Metrics,without_noise,log_18_1687181937,0.005,100.0,500.0,,[1207],"[1013, 1325]",0.6666666666666666,118.0,00:00:18,18.49654649849981,0.008766135781279532,,,,,,,
Process Graph Metrics,without_noise,log_33_1687181967,0.005,100.0,400.0,,[1067],[987],1.0,80.0,00:00:06,6.614908981136978,0.004326297567780888,,,,,,,
Martjushev ADWIN J,without_noise,log_95_1687182068,0.4,200.0,500.0,20.0,[],"[561, 936, 2338, 2712, 4212]",,,00:01:55,115.99955380056053,0.02056365073578453,,,,,,,
LCDD,without_noise,log_91_1687182059,,,,,"[807, 2360, 3407]","[806, 1021, 2361, 2754, 3407, 3685]",0.6666666666666666,0.6666666666666666,00:00:00,0.546602226793766,0.00010630148323488254,,,200.0,200.0,5.0,,
Process Graph Metrics,without_noise,log_49_1687181999,0.0001,100.0,500.0,,[],"[605, 889]",,,00:00:10,10.901502452790737,0.00592472959390801,,,,,,,
Process Graph Metrics,without_noise,log_33_1687181967,0.1,400.0,500.0,,[1046],[987],1.0,59.0,00:00:04,4.40268624573946,0.0028794547061736166,,,,,,,
Martjushev ADWIN J,without_noise,log_78_1687182040,0.4,300.0,400.0,10.0,[742],[743],1.0,1.0,00:00:03,3.811461522243917,0.0017045892317727714,,,,,,,
LCDD,without_noise,log_63_1687182017,,,,,"[803, 1103, 1762, 2683, 2983]","[727, 968, 1760, 2588, 2871]",1.0,84.0,00:00:00,0.08941157255321741,2.105287792635211e-05,,,300.0,300.0,150.0,,
LCDD,without_noise,log_31_1687181960,,,,,"[487, 1042, 1867, 2264, 3337, 3637, 3937]","[1043, 1868, 2070, 3338, 3677]",0.8333333333333333,47.4,00:00:00,0.3139898395165801,7.290221488659859e-05,,,300.0,300.0,100.0,,
Martjushev ADWIN J,without_noise,log_87_1687182053,0.4,200.0,500.0,20.0,"[1391, 1760, 2938, 3572]","[1385, 2862, 3527, 3777]",0.75,42.333333333333336,00:00:28,28.810397264547646,0.006297354593343748,,,,,,,
LCDD,without_noise,log_84_1687182047,,,,,"[374, 710, 1034, 1337, 1763, 2086, 2413]",[1338],0.25,1.0,00:00:00,0.035993969067931175,1.412081956372349e-05,,,300.0,300.0,5.0,,
Process Graph Metrics,without_noise,log_49_1687181999,0.0001,100.0,400.0,,[743],"[605, 889]",0.6666666666666666,138.0,00:00:02,2.57520567253232,0.0013995683002893044,,,,,,,
Process Graph Metrics,without_noise,log_21_1687181940,0.005,400.0,500.0,,[760],[668],1.0,92.0,00:00:03,3.7297711484134197,0.0020226524666016378,,,,,,,
Process Graph Metrics,without_noise,log_30_1687181956,0.005,200.0,500.0,,[3148],"[949, 1861, 2912]",,,00:00:05,5.910225614905357,0.0014694742951032714,,,,,,,
LCDD,without_noise,log_43_1687181986,,,,,"[101, 208, 379, 480, 590, 691, 792, 895, 1011, 1125, 1238, 1354, 1480, 1617, 1723, 1877, 1978, 2081, 2186, 2294, 2404, 2506, 2607, 2707, 2816, 2928, 3029, 3134, 3249, 3349, 3449, 3553, 3657, 3757, 3865, 3971, 4090, 4203]","[979, 1204, 2415, 2632, 3669]",0.23255813953488372,22.8,00:00:00,0.24031763337552547,5.596591368782615e-05,,,100.0,100.0,50.0,,
Process Graph Metrics,without_noise,log_15_1687181933,0.005,200.0,400.0,,[1238],"[957, 1345]",0.6666666666666666,107.0,00:00:04,4.688303312286735,0.0017833028955065555,,,,,,,
Bose J,without_noise,log_35_1687181968,,,,,"[1000, 4512]","[842, 1057, 2418, 2651, 3788, 4180]",0.25,57.0,00:01:18,78.42151941265911,0.013966432664765648,100.0,2.0,,,,,
Bose WC,without_noise,log_35_1687181968,,,,,[],"[842, 1057, 2418, 2651, 3788, 4180]",,,00:01:07,67.51719500962645,0.012024433661554132,100.0,2.0,,,,,
Martjushev J,without_noise,log_41_1687181983,0.55,,,,"[574, 764, 2356, 2568, 3207, 3419]","[601, 890, 2386, 2718, 3227, 3580]",1.0,85.66666666666667,00:01:51,111.8506537405774,0.02336062108199194,100.0,,,,,,
LCDD,without_noise,log_69_1687182027,,,,,[1353],"[1354, 1741, 2389, 2676, 3199]",0.33333333333333337,1.0,00:00:00,0.257215803489089,6.089389287146994e-05,,,100.0,100.0,100.0,,
Process Graph Metrics,without_noise,log_92_1687182064,0.05,100.0,500.0,,"[1083, 2054]",[1041],0.6666666666666666,42.0,00:00:29,29.06169027183205,0.012956616260290705,,,,,,,
Process Graph Metrics,without_noise,log_88_1687182055,0.0001,400.0,400.0,,"[1512, 3465]","[1401, 1950, 2206, 3218, 3462]",0.5714285714285715,57.0,00:00:10,10.661646079272032,0.0025044975520958496,,,,,,,
Martjushev ADWIN J,without_noise,log_23_1687181942,0.4,200.0,500.0,20.0,"[809, 2641, 4046]","[859, 1255, 2629, 4001, 4377]",0.7499999999999999,35.666666666666664,00:01:52,112.72930220514536,0.02032990120922369,,,,,,,
Process Graph Metrics,without_noise,log_66_1687182022,0.1,100.0,400.0,,"[150, 1061, 1611]","[846, 1221]",0.4,160.0,00:00:05,5.329329236410558,0.003080537130873155,,,,,,,
Maaradji Runs,without_noise,log_78_1687182040,,,,,[662],[743],1.0,81.0,00:00:00,0.5597041780129075,0.0002503149275549676,250.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_56_1687182007,0.4,400.0,500.0,10.0,"[1069, 1660]","[999, 1336]",0.5,70.0,00:00:19,19.37123714759946,0.007190511190645679,,,,,,,
Bose J,without_noise,log_50_1687182000,,,,,"[3706, 4410]","[1406, 1636, 2269, 2506, 3766]",0.28571428571428575,60.0,00:05:58,358.5788140753284,0.06833977779213425,200.0,2.0,,,,,
Bose WC,without_noise,log_50_1687182000,,,,,[],"[1406, 1636, 2269, 2506, 3766]",,,00:05:54,354.8477422017604,0.06762869110001152,200.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_79_1687182041,0.4,100.0,400.0,10.0,[],[532],,,00:00:14,14.141602308489382,0.007719215233891584,,,,,,,
Process Graph Metrics,without_noise,log_18_1687181937,0.005,200.0,500.0,,[1207],"[1013, 1325]",0.6666666666666666,118.0,00:00:16,16.444965834729373,0.007793822670487855,,,,,,,
LCDD,without_noise,log_71_1687182031,,,,,"[939, 1039, 1151, 1251, 1960, 2096, 2196, 3302, 3467]","[940, 1158, 1961, 2167, 3303, 3626]",0.8,33.0,00:00:00,0.15500152856111526,3.436079107983047e-05,,,100.0,100.0,5.0,,
LCDD,without_noise,log_46_1687181991,,,,,[808],"[808, 1008, 2422, 3892]",0.4,0.0,00:00:00,0.16528857871890068,3.571490464971925e-05,,,200.0,200.0,10.0,,
LCDD,without_noise,log_49_1687181999,,,,,[604],"[605, 889]",0.6666666666666666,1.0,00:00:00,0.05857665091753006,3.1835136368222855e-05,,,200.0,200.0,200.0,,
Martjushev J,without_noise,log_60_1687182015,0.55,,,,"[693, 1600]",[694],0.6666666666666666,1.0,00:03:24,204.26171353273094,0.09612315930952044,200.0,,,,,,
LCDD,without_noise,log_35_1687181968,,,,,[3787],"[842, 1057, 2418, 2651, 3788, 4180]",0.2857142857142857,1.0,00:00:00,0.10120915714651346,1.8024783107126172e-05,,,200.0,200.0,150.0,,
Process Graph Metrics,without_noise,log_18_1687181937,0.0001,200.0,400.0,,[1182],"[1013, 1325]",0.6666666666666666,143.0,00:00:03,3.8109296578913927,0.0018061277999485274,,,,,,,
Martjushev ADWIN J,without_noise,log_22_1687181941,0.4,300.0,400.0,10.0,"[1219, 1457, 2578, 3544, 3773]","[1159, 1512, 2578, 3506, 3838]",1.0,43.6,00:00:06,6.183298679068685,0.0013181195222913419,,,,,,,
Process Graph Metrics,without_noise,log_72_1687182033,0.005,300.0,500.0,,"[723, 969]","[661, 974]",1.0,33.5,00:00:04,4.121309222653508,0.002722132907961366,,,,,,,
Martjushev ADWIN J,without_noise,log_91_1687182059,0.4,200.0,400.0,10.0,[],"[806, 1021, 2361, 2754, 3407, 3685]",,,00:02:54,174.8306662403047,0.034000518522035145,,,,,,,
LCDD,without_noise,log_29_1687181956,,,,,"[562, 762, 979, 1280]","[516, 766]",0.6666666666666666,25.0,00:00:00,0.025754978880286217,1.7033716190665486e-05,,,200.0,200.0,150.0,,
Bose J,without_noise,log_93_1687182065,,,,,"[804, 1016, 1832, 3130]","[761, 990, 1771, 2107, 2887, 3146]",0.8,36.5,00:02:47,167.53102714102715,0.03887030792135201,300.0,2.0,,,,,
Bose WC,without_noise,log_93_1687182065,,,,,"[792, 1834, 3034]","[761, 990, 1771, 2107, 2887, 3146]",0.6666666666666666,68.66666666666667,00:02:44,164.30560115724802,0.03812194922441949,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_2_1687181920,0.0001,200.0,400.0,,[1175],[1011],1.0,164.0,00:00:01,1.1238386360928416,0.0007181077546919116,,,,,,,
Martjushev ADWIN J,without_noise,log_80_1687182042,0.4,300.0,500.0,20.0,[],[981],,,00:00:32,32.40167496819049,0.015291021693341431,,,,,,,
Process Graph Metrics,without_noise,log_24_1687181949,0.05,300.0,500.0,,[1165],"[994, 1238]",0.6666666666666666,73.0,00:00:07,7.211675243452191,0.002997371256630171,,,,,,,
Martjushev ADWIN J,without_noise,log_86_1687182053,0.4,400.0,400.0,50.0,[],[931],,,00:00:08,8.570863098837435,0.004991766510679927,,,,,,,
Martjushev ADWIN J,without_noise,log_39_1687181976,0.4,300.0,400.0,10.0,"[1899, 3310]","[706, 972, 2184, 3059, 3368]",0.28571428571428575,58.0,00:01:59,119.34248127695173,0.02844874404694916,,,,,,,
Martjushev ADWIN J,without_noise,log_67_1687182023,0.4,200.0,500.0,50.0,[],"[933, 1145, 2289, 3129]",,,00:00:06,6.257164428010583,0.0014076860355479376,,,,,,,
LCDD,without_noise,log_67_1687182023,,,,,"[935, 3128]","[933, 1145, 2289, 3129]",0.6666666666666666,1.5,00:00:00,0.07826077286154032,1.7606473084710983e-05,,,200.0,200.0,100.0,,
LCDD,without_noise,log_82_1687182044,,,,,[641],[642],1.0,1.0,00:00:00,0.09851589612662792,4.8150486865409545e-05,,,200.0,200.0,10.0,,
Process Graph Metrics,without_noise,log_58_1687182010,0.005,400.0,400.0,,[697],[566],1.0,131.0,00:00:03,3.1942265816032887,0.001928880785992324,,,,,,,
Process Graph Metrics,without_noise,log_18_1687181937,0.05,400.0,500.0,,"[1205, 1745, 2249]","[1013, 1325]",0.4,120.0,00:00:19,19.301862549968064,0.009147802156382969,,,,,,,
LCDD,without_noise,log_38_1687181974,,,,,"[105, 225, 332, 438, 546, 648, 754, 876, 978, 1082, 1194, 1315, 1419, 1557, 1661, 1782, 1884, 1996, 2103, 2239, 2350]","[1060, 1266]",0.17391304347826084,35.5,00:00:00,0.12791132647544146,5.436095472819441e-05,,,100.0,100.0,20.0,,
Martjushev ADWIN J,without_noise,log_4_1687181921,0.4,400.0,400.0,10.0,[],"[1313, 1543]",,,00:00:06,6.476909128949046,0.002458030029961687,,,,,,,
Process Graph Metrics,without_noise,log_58_1687182010,0.1,100.0,400.0,,[653],[566],1.0,87.0,00:00:03,3.572153052315116,0.0021570972538134756,,,,,,,
Process Graph Metrics,without_noise,log_76_1687182037,0.0001,400.0,400.0,,"[1115, 1800]","[1056, 1741, 2740]",0.8,59.0,00:00:18,18.22660620510578,0.005568776720166753,,,,,,,
Martjushev ADWIN J,without_noise,log_80_1687182042,0.4,200.0,500.0,50.0,[],[981],,,00:00:28,28.048079353757203,0.013236469728059086,,,,,,,
Martjushev ADWIN J,without_noise,log_55_1687182006,0.4,400.0,400.0,50.0,"[299, 1200]","[1185, 1392]",0.5,15.0,00:00:02,2.2971364576369524,0.000834715282571567,,,,,,,
Process Graph Metrics,without_noise,log_30_1687181956,0.1,100.0,400.0,,"[992, 1953, 2933]","[949, 1861, 2912]",1.0,52.0,00:00:15,15.232418521307409,0.003787274619917307,,,,,,,
Process Graph Metrics,without_noise,log_72_1687182033,0.1,100.0,500.0,,[848],"[661, 974]",0.6666666666666666,126.0,00:00:22,22.597796478308737,0.014925889351590976,,,,,,,
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:02,2.090666458941996,0.00045174296865643825,,,,,,300.0,30.0
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:02,2.090666458941996,0.00045174296865643825,,,,,,300.0,60.0
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:02,2.090666458941996,0.00045174296865643825,,,,,,300.0,90.0
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:02,2.090666458941996,0.00045174296865643825,,,,,,300.0,120.0
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:02,2.090666458941996,0.00045174296865643825,,,,,,300.0,150.0
LCDD,without_noise,log_39_1687181976,,,,,"[494, 936, 1304, 1798, 2098, 2420, 2787, 3144, 3444, 3789]","[706, 972, 2184, 3059, 3368]",0.5333333333333333,70.75,00:00:00,0.2709087245166302,6.45789569765507e-05,,,300.0,300.0,200.0,,
Maaradji Runs,without_noise,log_11_1687181931,,,,,[916],[1012],1.0,96.0,00:00:00,0.33934440556913614,0.000200203189126334,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_9_1687181928,0.05,400.0,400.0,,"[1186, 2126, 2944]","[1135, 1916, 2696, 2989]",0.5714285714285715,48.0,00:00:05,5.21339684445411,0.001162148204292044,,,,,,,
LCDD,without_noise,log_1_1687181916,,,,,"[1291, 2436]","[1292, 2437, 3613]",0.8,1.0,00:00:00,0.3261626772582531,6.878166960317443e-05,,,300.0,300.0,10.0,,
