Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance,with_noise_10,log_3_1687181920,200,2,[1288],"[1041, 1298]",0.6666666666666666,10.0,00:00:57,57.144006837159395,0.02519577021038774
Earth Mover's Distance,with_noise_10,log_47_1687181994,100,2,"[538, 910, 1128]","[1076, 1388]",0.4,52.0,00:04:29,269.36283601634204,0.1074442903934352
Earth Mover's Distance,with_noise_15,log_77_1687182038,200,2,"[568, 1782, 2394, 3226, 3514]","[560, 1784, 3134]",0.7499999999999999,34.0,00:02:41,161.24340301007032,0.03561815838525963
Earth Mover's Distance,with_noise_10,log_40_1687181982,200,2,"[272, 1204, 1508, 2114, 2846, 3440]","[1205, 2115, 3442]",0.6666666666666666,1.3333333333333333,00:00:08,8.452443731948733,0.0018804101739596738
Earth Mover's Distance,with_noise_15,log_12_1687181931,100,2,[1194],"[969, 1263]",0.6666666666666666,69.0,00:00:01,1.1686780992895365,0.0006584101967828374
Earth Mover's Distance,with_noise_5,log_23_1687181942,300,2,"[1144, 2628, 3406, 4140, 4780, 5098]","[859, 1255, 2629, 4001, 4377]",0.5454545454545454,83.66666666666667,00:17:48,1068.9858239907771,0.1927837374194368
Earth Mover's Distance,with_noise_5,log_4_1687181921,300,2,[1448],"[1313, 1543]",0.6666666666666666,95.0,00:00:02,2.658918123692274,0.0010090770867902368
Earth Mover's Distance,without_noise,log_89_1687182057,200,2,"[570, 1138, 1954, 2484]","[1144, 1943, 2486]",0.8571428571428571,6.333333333333333,00:00:07,7.310110321268439,0.002265998239698834
Earth Mover's Distance,without_noise,log_25_1687181949,300,2,[874],"[783, 1163]",0.6666666666666666,91.0,00:03:06,186.40046418644488,0.10372869459457144
Earth Mover's Distance,with_noise_15,log_28_1687181955,100,2,"[418, 982]",[983],0.6666666666666666,1.0,00:00:03,3.9682971946895123,0.001738955825893739
Earth Mover's Distance,without_noise,log_29_1687181956,200,2,[678],"[516, 766]",0.6666666666666666,88.0,00:00:02,2.8104676324874163,0.0018587748892112542
Earth Mover's Distance,with_noise_5,log_81_1687182043,300,2,[948],"[751, 1119]",0.6666666666666666,171.0,00:00:01,1.709196014329791,0.0009299216617681126
Earth Mover's Distance,with_noise_15,log_6_1687181923,100,2,"[448, 1276, 2028, 3122]","[923, 1989, 3141]",0.5714285714285715,29.0,00:01:50,110.96968146786094,0.025214651549161766
Earth Mover's Distance,with_noise_15,log_85_1687182048,300,2,"[464, 1340, 2080]","[1308, 1543]",0.4,32.0,00:25:00,1500.349283132702,0.5801814706622977
Earth Mover's Distance,with_noise_5,log_2_1687181920,200,2,[1012],[1011],1.0,1.0,00:00:02,2.4173074401915073,0.0015446053930936148
Earth Mover's Distance,without_noise,log_52_1687182004,200,2,"[1436, 1636, 2246]","[1221, 1560]",0.4,76.0,00:00:00,0.655236104503274,0.0002226422373439599
Earth Mover's Distance,without_noise,log_51_1687182003,100,2,[868],[882],1.0,14.0,00:00:11,11.62116652354598,0.0049013776986697516
Earth Mover's Distance,with_noise_10,log_20_1687181939,200,2,"[778, 1168, 1380, 2318, 2818, 3644]","[1383, 2319, 2819]",0.6666666666666666,1.6666666666666667,00:00:15,15.572823267430067,0.003960534910333181
Earth Mover's Distance,with_noise_5,log_62_1687182017,300,2,[538],[540],1.0,2.0,00:00:31,31.70742718875408,0.01976772268625566
Earth Mover's Distance,with_noise_15,log_47_1687181994,300,2,[1232],"[1076, 1388]",0.6666666666666666,156.0,00:13:40,820.8264442645013,0.32741381901256533
Earth Mover's Distance,with_noise_5,log_90_1687182058,100,2,"[650, 1118]",[652],0.6666666666666666,2.0,00:00:07,7.598303720355034,0.0040438018735258294
Earth Mover's Distance,with_noise_15,log_41_1687181983,200,2,"[852, 2518, 3476, 4294]","[601, 890, 2386, 2718, 3227, 3580]",0.6,91.33333333333333,00:00:45,45.79606754146516,0.00956475930272873
Earth Mover's Distance,without_noise,log_84_1687182047,300,2,"[540, 1340]",[1338],0.6666666666666666,2.0,00:00:16,16.70027027092874,0.006551694888555802
Earth Mover's Distance,without_noise,log_38_1687181974,300,2,"[1150, 1958]","[1060, 1266]",0.5,90.0,00:06:55,415.68931364268064,0.17666354170959653
Earth Mover's Distance,with_noise_5,log_25_1687181949,300,2,[870],"[783, 1163]",0.6666666666666666,87.0,00:03:42,222.60111841745675,0.12387374425011505
Earth Mover's Distance,with_noise_5,log_92_1687182064,100,2,[1054],[1041],1.0,13.0,00:01:11,71.94994666054845,0.032077550896365783
Earth Mover's Distance,with_noise_15,log_47_1687181994,200,2,"[576, 1232]","[1076, 1388]",0.5,156.0,00:08:50,530.2923059631139,0.2115246533558492
Earth Mover's Distance,without_noise,log_16_1687181934,200,2,"[434, 1230, 1754, 2188, 2750, 3650]","[1218, 1793, 2771]",0.6666666666666666,24.0,00:00:03,3.555605486035347,0.000880972617947311
Earth Mover's Distance,with_noise_10,log_47_1687181994,200,2,"[710, 1206]","[1076, 1388]",0.5,130.0,00:07:22,442.0610977113247,0.1763307130878838
Earth Mover's Distance,with_noise_15,log_12_1687181931,300,2,[1042],"[969, 1263]",0.6666666666666666,73.0,00:00:02,2.754017062485218,0.0015515589084423764
Earth Mover's Distance,with_noise_5,log_35_1687181968,300,2,"[922, 1832, 2518, 4168, 4500]","[842, 1057, 2418, 2651, 3788, 4180]",0.5454545454545454,64.0,00:00:05,5.079884493723512,0.0009046989303158525
Earth Mover's Distance,with_noise_15,log_13_1687181932,200,2,"[720, 1406, 2342, 3090, 3932]","[627, 835, 1407, 2856, 3239]",0.6,81.0,00:00:12,12.984407210722566,0.0029244160384510284
Earth Mover's Distance,with_noise_5,log_28_1687181955,300,2,"[982, 1728]",[983],0.6666666666666666,1.0,00:00:02,2.5570170916616917,0.0011205158158026694
Earth Mover's Distance,with_noise_5,log_70_1687182031,100,2,[],[608],,,00:00:06,6.622938262298703,0.0045023373639012255
Earth Mover's Distance,with_noise_5,log_52_1687182004,200,2,"[1456, 2238]","[1221, 1560]",0.5,104.0,00:00:02,2.688711369410157,0.0009135954364288676
Earth Mover's Distance,with_noise_10,log_31_1687181960,100,2,"[1042, 1934, 3572]","[1043, 1868, 2070, 3338, 3677]",0.7499999999999999,57.333333333333336,00:06:58,418.1483974661678,0.09708576676716225
